"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Dpy19l2"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Dpy19l3"	97.335	106.349	179.428	263.049	66.2183	96.173	69	118.541	165.383	73.9437	68.4255	116.344	115.719	64.0555	43.3307
"Dpy19l4"	325.00039	400.9795579487	303.68157564	267.94200157075	336.9999177	233.189	160.99965	251.91815	270.79425901	173.99981	196.2657	277.25652	362.464	221.05086	147.3586
"Dpy30"	324.00002	293.00038	285.00003	246.00048	255.99994	208.00019	450	224.99974	245.9997	144.0001	200	214.0005	297.00012	207.00046	352.00018
"Dpyd"	12853.20942	12771.6	8338.44	9396.61	9944.38592	8932.7	4267.81	9061.22651	8786.23451	5894.51	7102.29	9971.23	11159.3	7712.98	5166.77
"Dpys"	7136.76746	6562.22359	5165.62281	4166.92658	5174.02959	5119.60076	5296.7263	4652.57409	4889.266	2953.47333	3770.75387	4787.16151	6345.38189	4258.338	5474.4452
"Dpysl2"	47.6977	53.6184	32.0123	23.1461	34.6348	30.1511	56.4896	27.5109	33.0367	22.7209	22.0631	22.1436	45.6133	18.3704	29.2753
"Dpysl3"	44.7917	34	38.5417	46	44.7917	23.6758	18	34.9675845	25.9307	31	11.4583	29	39.0986	36	10.1468
"Dpysl4"	0.326206	6.9904	4.7964678	7.26438	10.22528	0	3	3	5.66026	3	3.265494	3	0	0	6
"Dpysl5"	2	2.000004	0	0	0	0	1	0	1	0	1	0	1	2	0
"Dqx1"	424.446	461.478	295.353	241.818	316.063	325.383	411.168	237.944	205.571	324.912	315.747	220.012	336.256	430.638	258.51
"Dr1"	526	501	388	343	429	314	259	311	348	233	328	347	464	349	251
"Dram1"	15	4.77926e-08	17	14	21	2.28507e-08	1.86416e-08	13	44	13	5	21	20	11	16.999988
"Dram2"	1257.34095	1086.2157	899.1397635098	935.3463799801	986.46661021	807.45811	753.9661	903.43033	883.48729	529.45644548	691.03398048	987.50769	1215.26771	642.78301	907.59759
"Drap1"	1018.1856	937.8382	858.18249	693.40603	884.823	727.47476	1713.0832	731.79776	754.8147	546.6218	562.88163	824.77393	946.2262	688.8425	1238.36489
"Draxin"	0	0	1.00079	2.00701	1.00128	0	0	0	1.00243	2.05055	0	1.00306	0	1.01299	0
"Drc1"	6.29467	15	8.30872	15.543	1	5	15	3.58685	4.78247	4.37968	10.7606	11.4065	8.36933	8.64215	8.36933
"Drc3"	12.72626	12.00003	16.00003	6	8.46555	7	12.23022	9	10.68706	7	6.65066	4.17454	16.22742	5.00884	5
"Drc7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drd1"	3.000000112718	4.000000182242	2.0000000619702	1.00000008368	3.2315700691146	1.0000000381338	0	0	1.0000000985054	2.000000148639	1.000000173051	5.000000141737	5.000000131609	4.306050790702	0
"Drd2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drd3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drd4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drd5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drg1"	758.601	897.176	717.755	583.33	714.044	583.985	810.527	526.122	615.437	437.107	566.167	558.885	711.533	535.226	627.619
"Drg2"	601.429	611.346	470.566	449.521	511.538	405.122	638.972	431.112	437.838	353.953	352.868	447.115	510.468	408.473	450.383
"Drosha"	196.129	198.0005	184	185.48500381623	170.4819	138.866	147.000133208	169.1713	134.224	114.2041	108.443	194.9997	184.3839	150.1162	101.0250637324
"Drp2"	2	1.00425	2.00851	1	2.05908	3.000314	0	2.00001	2.01168	1	2.00002	0	6.00003	2.00029	1.58519
"Dsc1"	0	0	1	0	0	0	0	0	0	1	0	1.00006	0	0	0
"Dsc2"	1403.5328	1360.90017	1232.7287	937.7241	1058.67107	1039.2923	760.99993	675.7318	1089.2251	641.5651	1019.8536	1151.4337	1567.0952	874.1778	645.9997
"Dsc3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dscam"	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0
"Dscc1"	0	1	0	2	0	0	1	2	5	2	0	2	0	0	1.25115
"Dse"	247	247	201	148.00022	190.99952393845	179	153.00001	170.00013	200	102	152.99986	189	272.00013	171	158
"Dsel"	28.9763	30	16.5579	20.6973	28.9763	22.811	2.06973	24	24	20	18	32	26.9065	25	8.27893
"Dsg1a"	0	0	0	1.08707	1.08948	1.10447	2.10901	1.44616	0	2.21511	1.11647	0	0	0	0
"Dsg1b"	0	1.11982	1.13825	0	1.1187	0	1.0674	2.07824	1.12033	0	0	0	3.35292	0	0
"Dsg1c"	527	771.883	477.875	211.913	352.803	321.896	354.829	407.653	330.892	195.785	461.884	251	840.656	224	110
"Dsg2"	3494.9853	3086.8119	2885.219	2299.6114	2869.50018	2300.8609	1252.2646	2223.65716	2402.36309	1739.99656	1986.85923	2127.69556	3032.73360006137	1925.43685	1106.27389
"Dsg3"	0	0	0	0	0	2.00045	2	1	0	0	0	0	0	0	0
"Dsg4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dsn1"	20.77898	26	16.999997	11	18.999974845	20.00001	14.000008	13	24.000021	19	16	13	23.000042	21	18.999955
"Dsp"	1795.002	1086	1388.996	1542	1448.998	924	675	915	1606.999	710	775	1098	1294.004	819	498
"Dspp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
