"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Tgfbr3l"	6.09543	12.1963	22.1673	22.6347	3.958	19.6842	9.27009	22.2269	32.6584	24.6664	9.30213	17.1384	12.9797	9.72534
"Tgfbrap1"	394.10574	801.24989	436.57589	259.81152	389.125029	432.16175	321.257257	436.1035634132	278.15385	357.795222	327.15068	323.39806	415.49728	363.5591
"Tgif1"	69.898285	82.29527	78.6302313813	92.38885	65.88116	53.92642	61.03369	73.66472	50.9567392	100.77012	49.22956	51.8631300157078	77.76084	62.2946209297
"Tgif2"	28.9067	38.0000194	35.75086	48.5227	24	22.1436	21.8348	47.9999	41.1008	30	15	23.2962	29.8328	24.000047219
"Tgif2lx1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tgif2lx2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tgm1"	1	3.999998	3.999999	13	3.999999	1	6.000004942	3.999999	2.999999	17.999961	2	4	2.999999	5
"Tgm2"	1144.91	2411.25	1534.79	1693.25	1145.48	1188.85	989.361	1867.63	1363.94	1041.74	1013.68	1155.13	1481.34	1423.66
"Tgm3"	0	3.16229	1.4485	3.08573	2.88042	1.5999	4.01853	1.56408	1.05751	7.48201	1.65235	1.11949	0	2.64201
"Tgm4"	1.60374	0	0	1.88118	0	1.98383	0	0	0	2.49633	3.96146	0	0	0
"Tgm5"	2	0	0	1	2	1	1	0	0	6.21635	0	2	0	0
"Tgm6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tgm7"	0	2	2.000000011652	0	3	1	4.0000000782548	1	0	4.0000000153025	0	0	2	1
"Tgoln1"	922	1668	1075	619	863	902	759	1158	622	748	668	816	879	874
"Tgs1"	208.391	337.137	233.514	103.55	169.75	206.874	161	232.181	114	169	178	227	211.536	214
"Tgtp1"	125.8593	477.1289	193.3221	75.2601	186.7674	105.6858	109.8563	369.8732	119.6171	51.88047	111.19597	76.616181	159.61439	65.544733
"Tgtp2"	14.557	51.7899	16.7656	9.15592	13.0312	0	16.4953	27.429	46.3079	13.5802	7.18742	0	0	39.4929
"Th"	3	38.6198	0	0	13	0	0	5.32575	0	3	0	0	39.2273	7
